,player_id,hand,dob,ioc,rank,points,wins,losses,total,name
127,105413,R,19890920,SVK,158,386,27.0,38.0,65.0,Andrej Martin
128,105430,R,19891111,MDA,121,520,90.0,122.0,212.0,Radu Albot
129,105432,L,19891112,IND,280,187,10.0,27.0,37.0,Prajnesh Gunneswaran
130,105434,R,19891118,RSA,1048,9,3.0,7.0,10.0,Ruan Roelofse
131,105436,R,19891129,SWE,551,55,5.0,8.0,13.0,Markus Eriksson
132,105438,R,19891130,ESP,1666,2,17.0,32.0,49.0,Inigo Cervantes Huegun
133,105440,R,19891204,SRB,1712,1,0.0,1.0,1.0,Arsenije Zlatanovic
134,105441,L,19890124,AUS,864,16,5.0,22.0,27.0,John Patrick Smith
135,105449,R,19891224,USA,87,726,189.0,190.0,379.0,Steve Johnson
136,105453,R,19891229,JPN,84,745,434.0,217.0,651.0,Kei Nishikori
137,105454,R,19891231,AUS,1220,5,3.0,11.0,14.0,Brydan Klein
138,105456,R,19900102,PER,1278,4,5.0,1.0,6.0,Sergio Galdos
139,105471,R,19900125,MEX,1281,4,8.0,11.0,19.0,Cesar Ramirez
140,105477,R,19900131,ARG,177,335,13.0,18.0,31.0,Marco Trungelliti
141,105479,R,19900202,BOL,936,13,0.0,1.0,1.0,Alejandro Mendoza
142,105487,L,19900227,ARG,105,601,34.0,70.0,104.0,Facundo Bagnis
143,105493,R,19900309,BIH,1045,9,3.0,9.0,12.0,Tomislav Brkic
144,105497,U,19900313,DOM,781,22,11.0,15.0,26.0,Jose Hernandez
145,105502,R,19900318,IND,882,15,0.0,1.0,1.0,N Sriram Balaji
146,105512,R,19900403,USA,691,31,2.0,4.0,6.0,Alexander Sarkissian
147,105515,U,19900423,ESP,1712,1,0.0,2.0,2.0,Jordi Samper Montana
148,105526,R,19900425,GER,103,613,166.0,199.0,365.0,Jan Lennard Struff
149,105529,R,19900430,ESP,536,59,0.0,1.0,1.0,Carlos Gomez Herrera
150,105539,R,19900509,RUS,213,280,55.0,117.0,172.0,Evgeny Donskoy
151,105550,L,19900517,ARG,131,485,120.0,139.0,259.0,Guido Pella
152,105554,R,19900523,GBR,35,1214,111.0,118.0,229.0,Daniel Evans
153,105559,L,19900527,FRA,705,29,0.0,4.0,4.0,Jonathan Eysseric
154,105561,L,19900530,ITA,196,311,13.0,22.0,35.0,Alessandro Giannessi
155,105566,R,19900607,IRI,1816,1,4.0,6.0,10.0,Shahin Khaledan
156,105575,R,19900621,LTU,98,655,128.0,146.0,274.0,Ricardas Berankis
